,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,people_vaccinated,total_tests,icu_patients,hosp_patients,median_age,trends_covid,trends_vaccine
0,0,557,17,30,510,0.0,0.0,0.0,0.0,0.03052064631956912,0.05385996409335727,474849.12999999954,0.0,4141.0,0.0,0.0,37.21,0.0,4.0
1,1,655,18,32,605,98.0,1.0,2.0,95.0,0.02748091603053435,0.04885496183206107,493538.0399999997,0.0,4162.0,0.0,0.0,37.25833333333333,0.0,3.0
2,2,941,26,39,876,286.0,8.0,7.0,271.0,0.02763018065887354,0.04144527098831031,585412.0900000008,0.0,4469.0,0.0,0.0,38.01428571428572,0.0,3.0
3,3,1433,42,42,1349,492.0,16.0,3.0,473.0,0.02930914166085136,0.02930914166085136,591706.0400000005,0.0,4670.0,0.0,0.0,36.69375,0.0,3.0
4,4,2118,56,56,2006,685.0,14.0,14.0,657.0,0.02644003777148253,0.02644003777148253,442683.52999999915,0.0,5372.0,0.0,0.0,37.02222222222222,0.0,3.0
5,5,2927,82,65,2780,809.0,26.0,9.0,774.0,0.02801503245644004,0.022207037922787838,461885.3000000008,0.0,5888.0,0.0,0.0,36.7952380952381,0.0,4.0
6,6,5578,131,108,5339,2651.0,49.0,43.0,2559.0,0.023485120114736465,0.01936177841520258,469798.3100000012,0.0,6447.0,0.0,0.0,36.7952380952381,0.0,4.0
7,7,6167,133,127,5907,589.0,2.0,19.0,568.0,0.021566401816118047,0.02059348143343603,472660.0099999992,0.0,6804.0,0.0,0.0,36.934782608695656,0.0,4.0
8,8,8235,171,145,7919,2068.0,38.0,18.0,2012.0,0.020765027322404372,0.017607771706132362,496873.22999999934,0.0,7502.0,0.0,0.0,35.82692307692308,0.0,4.0
9,9,9927,213,225,9489,1692.0,42.0,80.0,1570.0,0.021456633423995165,0.022665457842248413,590557.6600000015,0.0,11284.0,0.0,0.0,36.82000000000001,0.0,4.0
10,10,12038,259,287,11492,2111.0,46.0,62.0,2003.0,0.021515201860774213,0.023841169629506564,598188.7599999997,0.0,8739.0,0.0,0.0,36.97741935483871,0.0,3.0
11,11,16787,362,476,15949,4749.0,103.0,189.0,4457.0,0.021564305712753917,0.028355274915112885,441070.49000000185,0.0,8876.0,1.0,6.0,37.83333333333333,0.0,3.0
12,12,19887,426,627,18834,3100.0,64.0,151.0,2885.0,0.021421028812792276,0.03152813395685624,471151.07999999955,0.0,8861.0,1.0,6.0,37.2125,0.0,4.0
13,13,23898,492,857,22549,4011.0,66.0,230.0,3715.0,0.020587496861662065,0.03586074148464306,475077.8400000002,0.0,10102.0,1.0,6.0,37.35151515151515,0.0,4.0
14,14,27643,564,1129,25950,3745.0,72.0,272.0,3401.0,0.02040299533335745,0.040842166190355605,471602.3400000016,0.0,10597.0,1.0,6.0,37.35151515151515,0.0,4.0
15,15,30803,634,1492,28677,3160.0,70.0,363.0,2727.0,0.020582410804142453,0.04843684056747719,493737.0900000006,0.0,11334.0,0.0,6.0,37.49999999999999,0.0,4.0
16,16,34396,719,2016,31661,3593.0,85.0,524.0,2984.0,0.020903593441097802,0.05861146644958716,589042.1999999994,0.0,12575.0,1.0,11.0,36.99722222222222,0.0,4.0
17,17,37130,806,2616,33708,2734.0,87.0,600.0,2047.0,0.02170751413950983,0.07045515755453811,606956.8899999992,0.0,13898.0,1.0,11.0,36.99722222222222,0.0,3.0
18,18,40160,906,3245,36009,3030.0,100.0,629.0,2301.0,0.0225597609561753,0.08080179282868526,468008.8599999997,0.0,16679.0,1.0,11.0,37.7047619047619,0.0,3.0
19,19,42769,1013,3947,37809,2609.0,107.0,702.0,1800.0,0.02368537959737193,0.09228646917159625,487290.6399999984,0.0,18161.0,1.0,11.0,36.99722222222222,0.0,3.0
20,20,44811,1113,4684,39014,2042.0,100.0,737.0,1205.0,0.024837651469505256,0.10452790609448573,492408.30000000016,0.0,16918.0,0.0,11.0,36.99722222222222,0.0,4.0
21,21,45229,1118,5151,38960,418.0,5.0,467.0,-54.0,0.024718653960954254,0.11388710782904773,498327.78000000084,0.0,18904.0,1.0,12.0,37.151351351351344,1.0,4.0
22,22,60382,1371,6294,52717,15153.0,253.0,1143.0,13757.0,0.02270544201914478,0.10423636182968435,536880.0299999999,0.0,20926.0,1.0,8.0,37.140540540540535,1.0,4.0
